type,rank,name,country,score,startDate,competition,competition_short,url,season,gender
SP,7,Laurine LECAVELIER,FRA,55.36,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
SP,36,Diana NIKITINA,LAT,36.71,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
SP,1,Javier FERNANDEZ,ESP,103.82,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,M
FS,23,Anna KHNYCHENKOVA,UKR,80.86,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
FS,22,Elzbieta KROPA,LTU,87.81,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
FS,24,Silvia HUGEC,SVK,77.47,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
FS,20,Anita ?STLUND,SWE,89.1,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
FS,12,Laurine LECAVELIER,FRA,98.75,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
FS,18,Anne Line GJERSEM,NOR,93.98,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
FS,17,Viveca LINDFORS,FIN,96.27,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
FS,16,Giada RUSSO,ITA,96.57,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
FS,15,Lea Johanna DASTICH,GER,96.93,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
FS,14,Eliska BREZINOVA,CZE,97.63,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
FS,13,Ivett TOTH,HUN,98.28,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
